"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Shaun Livingston";"Shaun Livingston";"1985-09-11";"1985-09-11";"Peoria";"peoria"
"Mario Chalmers";"Mario Chalmers";"1986-05-19";"1986-05-19";"Anchorage";"anchorage"
"Mario Chalmers";"Mario Chalmers";"1986-05-19";"1986-05-19";"Anchorage";"anchorage"
"Michael Carter-Williams";"Michael Carter-Williams";"1991-10-10";"1991-10-10";"Hamilton";"hamilton"
"Michael Carter-Williams";"Michael Carter-Williams";"1991-10-10";"1991-10-10";"Hamilton";"hamilton"
"Michael Carter-Williams";"Michael Carter-Williams";"1991-10-10";"1991-10-10";"Hamilton";"hamilton"
"Bradley Beal";"Bradley Beal";"1993-06-28";"1993-06-28";"St. Louis";
"Bradley Beal";"Bradley Beal";"1993-06-28";"1993-06-28";"St. Louis";
"Evan Turner";"Evan Turner";"1988-10-27";"1988-10-27";"Chicago";"chicago"
"Evan Turner";"Evan Turner";"1988-10-27";"1988-10-27";"Chicago";"chicago"
"Evan Turner";"Evan Turner";"1988-10-27";"1988-10-27";"Chicago";"chicago"
"Spencer Hawes";"Spencer Hawes";"1988-04-28";"1988-04-28";"Seattle";"seattle"
"Spencer Hawes";"Spencer Hawes";"1988-04-28";"1988-04-28";"Seattle";"seattle"
"Spencer Hawes";"Spencer Hawes";"1988-04-28";"1988-04-28";"Seattle";"seattle"
"Bradley Beal";"Bradley Beal";"1993-06-28";"1993-06-28";"St. Louis";
"DeMarcus Cousins";"DeMarcus Cousins";"1990-08-13";"1990-08-13";"Mobile";"mobile"
"DeMarcus Cousins";"DeMarcus Cousins";"1990-08-13";"1990-08-13";"Mobile";"mobile"
"DeMarcus Cousins";"DeMarcus Cousins";"1990-08-13";"1990-08-13";"Mobile";"mobile"
"Tim Duncan";"Tim Duncan";"1976-04-25";"1976-04-25";"Christiansted";"virginislands"
"Tim Duncan";"Tim Duncan";"1976-04-25";"1976-04-25";"Christiansted";"virginislands"
"Tim Duncan";"Tim Duncan";"1976-04-25";"1976-04-25";"Christiansted";"virginislands"
"Kendrick Perkins";"Kendrick Perkins";"1984-11-10";"1984-11-10";"Nederland";"nederland"
"Kendrick Perkins";"Kendrick Perkins";"1984-11-10";"1984-11-10";"Nederland";"nederland"
"Kendrick Perkins";"Kendrick Perkins";"1984-11-10";"1984-11-10";"Nederland";"nederland"
"Dirk Nowitzki";"Dirk Nowitzki";"1978-06-19";"1978-06-19";"Würzburg";"westgermany"
"Dirk Nowitzki";"Dirk Nowitzki";"1978-06-19";"1978-06-19";"Würzburg";"westgermany"
"Dirk Nowitzki";"Dirk Nowitzki";"1978-06-19";"1978-06-19";"Würzburg";"westgermany"
